match,status,league,scoreboard,summary,start-in
Pho Hien x Bình Phước,ENCERRADO,Frauen Bundesliga,"{'Pho Hien': '2', 'Bình Phước': '1'}",2 x 1,
Zlatibor Čajetina x Trajal Krusevac,84 MIN,Vietnã - V-League 2,"{'Zlatibor Čajetina': '1', 'Trajal Krusevac': '0'}",1 x 0,
MaPS x Toejoen Veikot,EM BREVE,Sérvia - Prva Liga,,,HOJE 12:30
SIF x Sporting Kristina,EM BREVE,Sérvia - Prva Liga,,,HOJE 13:00
FC Sääripotku x VPS II,EM BREVE,Sérvia - Prva Liga,,,HOJE 13:00
PeKa x KyPa,EM BREVE,Sérvia - Prva Liga,,,HOJE 13:00
Åland x PaiHa,EM BREVE,Sérvia - Prva Liga,,,HOJE 18:00
KF Llapi x Dukagjini,ENCERRADO,Kolmonen,"{'KF Llapi': '4', 'Dukagjini': '1'}",4 x 1,
Hoang Anh JMG U19 x Bình Phước U19,ENCERRADO,Kosovo - Superliga,"{'Hoang Anh JMG U19': '1', 'Bình Phước U19': '2'}",1 x 2,
SLNA U19 x Thanh Hoa U19,ENCERRADO,Kosovo - Superliga,"{'SLNA U19': '1', 'Thanh Hoa U19': '0'}",1 x 0,
Da Nang U19 x QNK Quang Nam U19,ENCERRADO,Kosovo - Superliga,"{'Da Nang U19': '3', 'QNK Quang Nam U19': '1'}",3 x 1,
Sanatech Khánh Hoà U19 x Hồ Chí Minh U19,ENCERRADO,Kosovo - Superliga,"{'Sanatech Khánh Hoà U19': '1', 'Hồ Chí Minh U19': '3'}",1 x 3,
Nevėžis x Žalgiris II,ENCERRADO,Vietnã Championship Sub-19,"{'Nevėžis': '1', 'Žalgiris II': '1'}",1 x 1,
Džiugas Telšiai x Panevėžys II,ENCERRADO,Vietnã Championship Sub-19,"{'Džiugas Telšiai': '2', 'Panevėžys II': '0'}",2 x 0,
FA Šiauliai x Trakai II,56 MIN,Vietnã Championship Sub-19,"{'FA Šiauliai': '2', 'Trakai II': '1'}",2 x 1,
Vilniaus Vytis x Kauno Žalgiris II,58 MIN,Vietnã Championship Sub-19,"{'Vilniaus Vytis': '0', 'Kauno Žalgiris II': '0'}",0 x 0,
